"",fold,ACC,SEN,SPE,PPV,NPV,F1,AUC
0,1,72.64150943396226,72.91666666666666,72.41379310344827,68.62745098039215,76.36363636363637,72.7788279773157,74.60488505747126
1,2,68.86792452830188,56.41025641025641,76.11940298507463,57.89473684210527,75.0,62.01969492179957,70.95292766934558
2,3,65.71428571428571,57.446808510638306,72.41379310344827,62.7906976744186,67.74193548387096,61.3030602171767,68.1951577402788
3,4,65.71428571428571,62.06896551724138,70.2127659574468,72.0,60.0,63.8396299151889,68.56199559794571
4,5,67.61904761904762,68.08510638297872,67.24137931034483,62.745098039215684,72.22222222222221,67.8512766910557,72.19369038884813
5,6,62.857142857142854,60.416666666666664,64.91228070175438,59.183673469387756,66.07142857142857,61.612747464992765,68.53070175438597
6,7,60.952380952380956,62.71186440677966,58.69565217391305,66.07142857142857,55.10204081632652,61.81960579558804,66.32277081798084
7,8,62.857142857142854,64.70588235294117,61.111111111111114,61.111111111111114,64.70588235294117,63.76811594202899,70.58823529411764
8,9,65.71428571428571,75.47169811320755,55.769230769230774,63.49206349206349,69.04761904761905,70.25582283314242,77.61248185776488
9,10,61.904761904761905,52.83018867924528,71.15384615384616,65.11627906976744,59.67741935483871,57.00861393891934,74.31059506531204
